,username,post_url,caption,likes,comments,timestamp
0,oo_im_mad,CNqliQksqFh,7H  FREEZER  7H ROMEO  DARE DEVIL,20,2,2021-04-14 23:49:41
1,ips6859,CC3LbtADyse,Engineering students life...... Boring,25,0,2020-07-20 11:27:22
2,ips6859,CCnhFnDDzsH,Try ur best..... I'm happy now..,20,0,2020-07-14 09:28:04
3,ips6859,CCd5P8VDMtp,,19,0,2020-07-10 15:46:55
4,ips6859,CCajTLkjx4k,Life is short......,28,0,2020-07-09 08:37:20
5,ips6859,CBIk5unl-kF,Ips..,28,2,2020-06-07 12:33:44
6,ips6859,CBGdWVZlQgx,Editing time... Boring.,29,0,2020-06-07 02:40:09
7,ips6859,CBBQy1Kj7Pi,,37,2,2020-06-04 16:22:51
8,ips6859,CAy6HPCjw-D,I don't like my life....... I hate my life,19,0,2020-05-30 02:35:18
9,ips6859,CAp1wQ_Fl4m,End of life ....😇😇,21,0,2020-05-26 14:04:12
10,ips6859,CAmDDFnlqHy,My life is goes to bad,20,0,2020-05-25 02:43:49
11,ips6859,CAgxnDaFlg1,😇,22,0,2020-05-23 01:34:59
12,ips6859,CAgw-nvlFrg,♥️🌹♥️,17,0,2020-05-23 01:29:33
13,ips6859,CAb9J2alHFh,♥️🌹♥️,20,1,2020-05-21 04:40:17
14,ips6859,CAaA9wbF7aJ,💜💜💜,20,0,2020-05-20 10:34:28
15,ips6859,CAWpPtKFP0k,💓💓💓,22,0,2020-05-19 03:09:25
16,ips6859,CAOuxYrlnXY,Thoughtful song *believer*,19,0,2020-05-16 01:24:02
17,ips6859,CAKXrhFj9RJ,School days,37,2,2020-05-14 08:44:48
18,ips6859,CAJmfW7DTYZ,Miss u all my friends,37,0,2020-05-14 01:34:58
19,ips6859,CAJl9nrDfDw,Happy moment.....,15,0,2020-05-14 01:30:42
20,ips6859,CAFS93ijy5L,Good thoughts,20,0,2020-05-12 09:27:37
21,ips6859,B__Xp23DDOo,Happy mothers day,20,0,2020-05-10 02:12:55
22,ips6859,B_9afM_jNIk,😇😇,14,0,2020-05-09 07:59:25
23,ips6859,B_6YCzWDc2K,💓💓💓,21,1,2020-05-08 03:40:35
24,ips6859,B_3ibc0jAak,😀😀,17,0,2020-05-07 01:13:09
25,ips6859,B_1faJ_D2ro,,12,0,2020-05-06 06:08:17
26,ips6859,B_1etVajheq,Tamilan gangsters 😇😇,14,0,2020-05-06 06:02:36
27,ips6859,B_yjTY4jYjl,♥️♥️♥️,17,0,2020-05-05 02:44:48
28,ips6859,B_yjDmsD5fz,Lovely heart 💓💜,18,0,2020-05-05 02:42:39
29,ips6859,B_t3dY9jxf0,It's my character,18,0,2020-05-03 07:04:47
30,ips6859,B_q5SPMD64X,♥️,16,0,2020-05-02 03:22:44
31,ips6859,B_ptO--lm8V,Feelings alone...,15,0,2020-05-01 16:18:26
32,ips6859,B_oVeK8FV-C,Happy labours day.. Without labours no one can do...,14,0,2020-05-01 03:31:36
33,ips6859,B_m5akjlOko,Lonely life is going well....,16,0,2020-04-30 14:07:15
34,ips6859,B_jFLqBF-i-,Theemai thaan vellum ..,17,0,2020-04-29 02:33:00
35,ips6859,B_hnN0nFs7-,Missing memories 😢😢,17,1,2020-04-28 12:51:59
36,ips6859,B_bl3YQFRYv,🌹♥️,18,0,2020-04-26 04:44:59
37,ips6859,B_bXAIalApp,♥️,12,0,2020-04-26 02:34:52
38,ips6859,B_ZRgV5lDcO,It's me...,14,0,2020-04-25 07:08:17
39,ips6859,B_ZRMcUlkJ5,♥️,10,0,2020-04-25 07:05:20
40,ips6859,B_ZRHJuFhtQ,Time is gone,8,0,2020-04-25 07:04:37
41,ips6859,B_ZQtyYFgeG,♥️,8,0,2020-04-25 07:01:09
42,saheer_3000,C1hHHqzrzK7,"This year was a literal roller coaster ride. Had the best and worst phase of academics in the same year. Had fun and was upset at the same time. Ohh God, this was one of the best and worst years at the same time.

Sorry @nikhilpesala_ @mahi___.___21 @chenchuaravind @__kangkana__kumar__ @chandaaannnn @_chandan_reddy_k @dg_capture @_mstxqm @apurrv @aryak_moitra_ @ishitaa_khare @mmaheshwari0.4 @adityajainuine @sengar_nitesh @sejalshekharr @utkarsh_pndy_14 @taniii2303 @noonia_tushar @definitelynotyn @manvi_ag3 @keerthanaaaaaa7 @rishi_ranjan3 @_rishikesh_reddy_  @varunkamath15 @_____a.d.i.t.y.a_____ @ronit_naik9 @prasham.t @prempatel_2701 , wasn’t able to mention you people in the post. So tagged you people in caption.
I love you all🫶🏻🫶🏻🫶🏻

Aur @_jeevesh_upadhyay_ , @d.d.o_s , @prempatel_2701 , @rishi_ranjan3 , tum logon ke saath mera ek bhi photo nhi hai.",78,0,2023-12-31 12:30:16
43,saheer_3000,C1KHaI1Lvz2,"Normal ghisipiti life jeena nhi chahta hoon main. Life mei dal chawal ke saath, thoda bahut keema pav, tangdi kabab aur hakka noodle bhi hona chahiye😉
#trending #travel #andaman #himachal #reels #aesthetic #wanderlust #yjhd #explore #scubadiving #traveltrips #beachesofindia #capturethemoment",80,0,2023-12-22 14:25:54
44,saheer_3000,C0COjzySJMn,"Bas post karne ka mann kiya 🕺💃
VC: @srikarthik_1416 
#laungdalashkara #dance #collage #memories #bollywood #reels",208,6,2023-11-24 16:05:00
45,saheer_3000,CzZBelUSLN9,"Yeh HLA ka style hai!!!😂😂😂
VC: @srikarthik_1416 
#memedance #badalbarsabijuli☁️🌧 #dilvich #gypsy #reels #sajdhajke #kalachashma #saddigalli #memories #college #event",121,6,2023-11-08 16:10:59
46,saheer_3000,CzWWtizyxmp,"So beautiful!!! So elegant!!! Just looking like a Wowwww!!!
#event #diwalievent #college #memories",134,0,2023-11-07 15:08:19
47,saheer_3000,CzUGFvKS4Tp,"Mere pyaare Selmon bhoiii 😂😂😂
Dhrity aka Selmon bhai 🙌🏻!!!
#Dhrity #salmankhan #srk #college",134,0,2023-11-06 18:04:36
48,saheer_3000,CyEXOGTyHeS,"Safar logon se yaadgaar banta hai, aur Yaadein dosto se yaadgaar
Aur last mei srk ka pose toh banta hi hai 😂
#memories #college #collegefest #friends",169,0,2023-10-06 18:55:02
49,saheer_3000,CyD-ChtL6UXead3Mh3JiXd91yR9Pln741Oi2P40,"Train of laughter has left the station 🚉🚉
.
.
.
@dg_capture 
.
.
#us_bro_us",483,14,2023-10-06 15:15:00
50,saheer_3000,CxiQAp3rDqZ,"It is Jawan’s time. Maine bhi pehle kiya Chaiya Chaiya, ab kiya tha tha thaiya 😉
#notramaiyavastavaiya🕺 #notramaiyavastavaiya #srk #jawan #shahrukhkhan #dance #reels",344,15,2023-09-23 12:58:57
51,saheer_3000,Cxf419sSmw0,"Banda Zinda ho, toh Zinda nazar aana zaroori hai. Banda ho toh Zinda ho.
#zindabanda #jawan #shahrukhkhan #srk #reels",586,13,2023-09-22 14:59:46
52,saheer_3000,CxVz3C8S_pT,"Yaadein mithai ke dibbe ki tarah hoti hai… Ek baar khula toh sirf ek tukda nahi kha paoge 🫶🏻❤️✨
#memories #theboys #college #friends",133,0,2023-09-18 17:01:00
53,saheer_3000,CwnRbfkSXJD,"Phoolon ka taaron ka sabka kehna hai! Ek hazaaron mein meri behna hai 😂😂😂
#rakshabandhan #sister #meripyaribehna",151,0,2023-08-31 15:15:04
54,saheer_3000,Cwk-YPcyfTc,"Bohot khubsoorat hoti hai yeh yaadon ki duniya. Humare beethe huye kal ke chote chote tukde, humari yaadon mei humesha mehfouz rehte hain.
#yaadein #yaariyan #collegekedin #university #college",159,3,2023-08-30 17:50:07
55,saheer_3000,CwiV0KSyV0L,"My best team till date ❤️
#team #friendship 
PC: @srikarthik_1416",126,8,2023-08-29 17:17:11
56,saheer_3000,CwiUVDFyENV,"Lovely lovely juniors ❤️❤️❤️. Love you guys 🫂
#college #memories #collegelife #dance#chaiyyachaiyya #yjhd #dilliwaligirlfriend",114,6,2023-08-29 17:11:01
57,saheer_3000,CwA8PhnSX_z,"Ab kya hi bolun!!? Bas acche din the woh
#throwback #hyderabad #memories",123,0,2023-08-16 17:58:48
58,saheer_3000,CuCmm-qsTFK,"Aisa ek transition dil phir se maang rha hai
#transition #manali #manalidiaries #himalayas #trip #peaceofmind",104,2,2023-06-28 16:26:50
59,saheer_3000,CteV65qtJDa,"Chahun main ya naa?🤔
#aashiqui #guitar #music #chahunmainyanaa #songs #nostalgia #singing",89,6,2023-06-14 14:29:25
60,saheer_3000,CtObD5eOK9w,"6 months of 2023 are over. “Kitne jaldi jaldi bade ho rahe hai na hum🥹!”. Chahta hoon ki ae poora saal itni hi khubsoorat aur mazedaar rahe.
#vit #vitchennai #college #collegelife #memories #friends #6months of 2023",127,44,2023-06-08 10:06:35
61,saheer_3000,CtHQuozSij5,Rang de VIT!!! #memories #college #collegelife,138,6,2023-06-05 15:19:04
62,saheer_3000,CsD1NBWOaHc,Just a random post!!! Ghatiya toh nhi gaaya na🤔?? #srk #pardes #yehdildeewana #guitar,97,2,2023-05-10 10:50:23
63,saheer_3000,CsB1z10S7qs,"Anokhe yaadon ka suhana safar!!! Flashing back to 2016…. 😀😀 Pc: @shaiksulthananasreen 
#throwback #ooty #ootydiaries",88,0,2023-05-09 16:16:15
64,saheer_3000,Cr_VMeGM3Uq,Ahhhh! What a day!!!!!! Woahhh!!!!! Sangeet of my cousin @ricyyyyyyyy didi! Thank you all for the cheering and appreciation!!!😉😌 #srk #pathaan #jhoomejopathaan #sangeet,154,11,2023-05-08 16:58:11
65,saheer_3000,CrVkHxxrJgv,Love you fam ❤️!!! Aap sabko Eid Mubarak✨!!!,161,4,2023-04-22 11:35:06
66,saheer_3000,CrOg8IYy25a,"Just a random post before the exam😜!!! These are the 3 best people I met in this college…
#collegelife #friends",142,2,2023-04-19 17:52:37
67,saheer_3000,CrEPCLFysy7,Yaadein aur yaaron ki ajeeb jaadoo hoti hai! Chehre pe muskuraahat laa dete hai!!✨,112,1,2023-04-15 18:03:45
68,saheer_3000,Cqic-BkyZvZ,Suraj hua madham… Chaand jalne laga…. Pc: @shaiksulthananasreen #manali #manalidiaries #himachal #throwback,94,5,2023-04-02 15:11:20
69,saheer_3000,CpiYBOADt8v,Aahhh!!! Finally we had a Holi event🤩! #holi #holifestival #balampichkari,110,0,2023-03-08 18:04:30
70,saheer_3000,CpZO7FvrXLf,"Vibrance->Day-3🔥🔥
#vibrance #djnight #college #collegelife #collegediaries",122,0,2023-03-05 04:44:03
71,saheer_3000,CpYTk9tyFOl,"Vibrance: Day-2
#sonunigam #vibrance #vibrance23 #collegelife #college #collegediaries",135,0,2023-03-04 20:05:28
72,saheer_3000,CpULIdCrsbi,"Vibrance->Day-1.  Pc: @_shreyas_3971 
#collegelife #college #collegediaries✌",148,0,2023-03-03 05:34:43
73,saheer_3000,Coz9XLHy3dg,The boys😎 #theboys,233,6,2023-02-18 17:18:42
74,saheer_3000,CozzGXGPymW,#discodeewane #disconight #disco #silentdisco,91,0,2023-02-18 15:49:01
75,saheer_3000,Cog4ORzDa7q,Love you guys. Thank you everyone for your cooperation. #iamsrk #ranbirkapoor #pathaan #jhoomejopathaan #chammakchallo #badtameezdil,139,25,2023-02-11 07:35:56
