,username,post_url,caption,likes,comments,timestamp
0,the_solo_guy_23,CgcU2DKvWai,"The #comeback is always stronger than the #setback 🤟
...... 
...... 
Pc:@aravind_arv._ 
Ec:@_spidey_26__ 
#dominar400😍 #dominar #bajaj #bajajdominar #bajajdominar400 #royalenfield #meteor350fireball #dominar250 #fila #highway #royalenfieldmeteor #love #helmet",131,2,2022-07-25 16:50:58
1,the_solo_guy_23,C1R9EDdy-hc,"Good heart faces a lot❤️‍🩹
#peace
#travel #travelphotography #travelblogger #traveler #hills ..
.

@the_solo_guy_23",168,14,2023-12-25 15:16:10
2,the_solo_guy_23,Cz4FCo-yPiy,"There's another side that you don't know 💨

#ktm #ktmindia #ktmofficial #readytorace #ktmrc #ktmduke #ktmrc200 #ktmduke200 #ktmrc390 #ktmduke390 #rc390 #rc200 #duke390 #duke200 #duke390❤️ #newgen #newgeneration #me #hoodie #black #blackorange #style #fashionmodel #fashion #trending #bikelovers #biker #bikelife #shoes #whiteshoes",139,2,2023-11-20 17:28:06
3,the_solo_guy_23,C5tS8aRyCrP,"Coorg diaries 📍❤️....

#coorg #coorgdiaries #coorgtrip #coorgdiaries❤️ #karnataka #travel #travelling #traveler #me #slowmo #rajaseat #viewpoint #madikeri #madikericoorg #travelgram #travelling #bangalore #bangalorediaries #naturelovers #nature #skylovers #edited #videoedits #videoediting #vacation #trip #travelgram #traveling #travelholic #natureza #naturegram #natureaddict..",147,23,2024-04-13 16:06:28
4,the_solo_guy_23,C5Q5FV3SCt1,"💥💥. ............#v3.
#yamaha #yamaharacing #ktm #ktmindia #r15 #r15v3 #r15v2 #r15indonesia #r15v4 #r15holic #r15v3fans #r15lovers #r15v3indonesia #r15v3india #r15m #r15v3modifikasi #r15v3modified #r15modified #r15fans #r15v3riders #ktmrc #155cc #vva #v3lovers #yamahar15v3 #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves_ #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves #iphone15 #iphone15promax",164,21,2024-04-02 15:26:57
5,the_solo_guy_23,C3QUVbUSNmM,"Naanga than😎..

#yamaha #yamahar15 #yamahar15v3 #yamaharx #yamaharxking #yamaharx100 #yamaharxkingindonesia #yamaharxz #yamaharx135 #yamaharxz #rx100 #r15lovers #r15 #r15v3 #r15v4 #r15holic #yamaharacing #vintage #classic #vintagebikes #vintagebike #oldschool #petrol #yamahalovers #r15v3fans #yamahafans #savetwostroke #yamaharacing #pocketrocket #rocket #twostroke #engine",267,8,2024-02-12 17:01:48
6,the_solo_guy_23,C3DVt7Ay_Bm,"Pray harder😮‍💨.....
 

#dominar #dominar400 #dominar400 #dominar250 #bajaj #bajajindia #india #bikelovers #bikelife #bikeforlife #ns200 #ns200lover #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves_ #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves #speed #highway #biker",235,15,2024-02-07 16:00:30
7,the_solo_guy_23,C2-JfigSeLt,"😌....

 #bajaj #bajajindia #bajajindiaofficial #bajajofficial #bajajdominar #bajajdominar400 #bajajdominar250 #bajajdominar400😍 #dominar #dominar400 #dominar250 #dominar250 #dominarmodified #dominar400😍 #dominarxplorer #dominar400ug #dominard400 #dominar_400 #dominarownersclub #dominaromundo #400cc #cruiser #ktm #ktmindia #ktmindiaofficial #ktmholics #ktmduke390 #duke390 #ktmduke200 #duke200 #rc390",241,7,2024-02-05 15:38:39
8,the_solo_guy_23,C2z1wKJyh9Y,"Reel❌ Real✅....

#bajaj #bajajindia #bajajdominar #bajajdominar400 #400cc #gaps #bajajns200 #ns200 #dominar #dominar400 #dominar250 #dominar400😍 #dominarxplorer #dominator #dominar2019 #dominard400 #dominarmodified #speed #bikelovers #biker #bikelifestyle #bikelife #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves_ #ns200_ns200modified_rs200_as200_ktmrc200_ktmrc390_ktmmodified_duke200_duke390_superduke390_r15_fz250_superbike_riders_nakedwolvesindia_nakedwolves",295,11,2024-02-01 15:33:57
9,the_solo_guy_23,C2u4eOvSYsl,"❤️‍🩹

 #me #bajajdominar #bajaj #bajajindia #bajajindiaofficial #dominar #dominar400 #dominar250 #dominarmodified #dominar400😍 #dominar400ug #dominar2019 #dominard400 #dominar_400 #dominarownersclub #ktm #ktmindia #ktmfamily #ktmofficial #ktmrc390 #ktmduke #ktmduke390 #ktmduke200 #duke390 #duke390❤️ #bikesofinstagram #bikelovers #reels #reelsinstagram #reels #reelsinstagram",105,4,2024-01-30 17:20:10
