,username,post_url,caption,likes,comments,timestamp
0,_jayanthsri_,C0UHX_2rXRw,"Very happy and glad to say that Basics of sign language has gained 25k users/downloads today. 
Lot more to come! A big thanks to all those who found it helpful.",60,6,2023-12-01 14:47:13
1,_jayanthsri_,CwzqU-HL1ve,Alexa play Fein by Travis aiya,196,16,2023-09-05 10:43:31
2,_jayanthsri_,Cv1xRYRLm7I,"A big milestone! Basics of sign language has gained 10,000 users. A big thanks to all people downloaded and used the app. Will provide even more through out, this has been amazing! 

Also this couldn't have been possible without these folks-
@barathwaj.pk @ashwath_20 @jegadeesh.jpg @g_oo_d_will",73,15,2023-08-12 09:51:17
3,_jayanthsri_,Cvg8dUaL1ta,Austin Richard Post,186,54,2023-08-04 07:44:59
4,_jayanthsri_,CtGZAwrrVhT,"Another milestone - Basics of sign language has 5k users/downloads now. Thanks to all the people who found the app very helpful. Many more updates are in line... 
Developed by: @basics_of_signlang_app @paradoxinc22

#signlanguage #androidapp
#androidapps
#app
#appdevelopers
#ios
#indiansignlanguage #americansignlanguage #britishsignlanguage #celebration #celebrations #milestone #milestones",69,2,2023-06-05 07:12:12
5,_jayanthsri_,Cste2u9SqU0,Kendrick said  n**** we gon be aight,144,10,2023-05-26 15:02:15
6,_jayanthsri_,CsoV6qYyLnE,കോഴിക്കോട് ബീച്ച്,140,3,2023-05-24 15:07:57
7,_jayanthsri_,CsJyLzTSL8U,ಕರ್ನಾಟಕ - 22637,157,6,2023-05-12 18:18:30
8,_jayanthsri_,Cr8pcZSyr3E,2AM,161,50,2023-05-07 15:51:59
9,_jayanthsri_,Cqre_Bduiqm,"Basics of sign language - an app for all your sign language needs!!

Tags: 
@_jayanthsri_ @paradoxinc22 

Hastags:
#app #android #androidapp #androidapps #signlanguage #indiansignlanguage #asl #americansignlanguage #bsl #britishsignlanguage",61,0,2023-04-06 03:22:28
10,_jayanthsri_,CmiUWYTPQs5,"A quick guide about app development,

Click on the link for more info

https://medium.com/@jayanthsrinivasan1011

Credits ~ @aadyaaa_trivedi

#vitrendz #vit #information #appdeveloper #appdevelopment #vitrendzchennai",617,0,2022-12-24 03:50:27
11,_jayanthsri_,Cjpdog2ruHq,#kozhikode.....,177,9,2022-10-13 08:52:04
12,___.gulmini.___,C4YWl1mvBM7,"Amidst the loudest of the speakers and brightest of the lights, I met the little me who fell in love with the person she was looking up to.🌙❤️",181,7,2024-03-11 16:25:00
13,___.gulmini.___,C4VWzLMP6o2,"एक रोज किसी शाम तुम अपना वो कुर्ता डालना और में तुम्हारी पसन्दीदा सारी। ईस शोर से मुझे कहीं जाना हे दूर तेरे संग उस चांद के फलक तक। बालों पे गजरा और कलाइयों पे चूडिय़ां, होठों पे  मुस्कराहट और आँखों पे हज़ार बातें। चलें क्या?🌙❤️",226,5,2024-03-10 12:26:49
14,___.gulmini.___,C4OKrzRLiRB,"बस एक ख्वाब सा हे तू, पास नही बस कहीं बहोत दुर हे तू। दिल के ख्वाबों का सबसे कीमती हिस्सा हे तू। 🥀❤️",209,4,2024-03-07 17:26:16
15,___.gulmini.___,C1NG3Q7PZst,~aquarius🕊💜,259,2,2023-12-23 17:59:28
16,___.gulmini.___,C1MGx0TvvLc,~blues🕊🩵,136,0,2023-12-23 08:39:29
17,___.gulmini.___,C1LudthPk8I,~solace🕊🩷,179,0,2023-12-23 05:07:01
18,___.gulmini.___,C1HWsJvPSDz,Wandering where the river flows....🦭🩵,139,0,2023-12-21 12:22:19
19,___.gulmini.___,C1HWcuFvZTc,Lost in the currents of serenity....🦭🩵,146,0,2023-12-21 12:20:12
20,___.gulmini.___,C1HWV3dv2kM,Embracing the rhythm.....🦭🩵,176,1,2023-12-21 12:19:16
21,___.gulmini.___,C0Ypdlov39j,As we promised.....🤞🏻🧿🌎❤️,225,2,2023-12-03 09:04:59
22,___.gulmini.___,Cz6E7KvPSA8,🥀🖤,103,7,2023-11-21 12:17:18
23,___.gulmini.___,Cy8MDmAvXv-,🥀🖤,107,3,2023-10-28 11:17:14
24,___.gulmini.___,Cv9WNXlAnxi22VNGvtcR_DWC1BCO2jb7gVJcEI0,♥️🧿🥹,249,2,2023-08-15 08:29:35
25,___.gulmini.___,CupdlVJNFon,Just a normal day with us!!!🙃❤,250,3,2023-07-13 18:38:31
26,___.gulmini.___,CuOlE1NvO3P,"तुझे लिखने में दिन बितादिए 
तुझे सोचने में रात बितादु क्या?🥀🤍",279,5,2023-07-03 08:02:56
27,___.gulmini.___,Ct_YWKeN-w1,❤,157,3,2023-06-27 10:30:32
28,___.gulmini.___,CsB45expiJa,"~09/05/2023~
The best we asked for♥️",277,3,2023-05-09 16:44:24
29,___.gulmini.___,Cr51-91pvNe,Ishq Mohabbat ki baatein samajh nahi aati 🥀🤍,93,6,2023-05-06 13:48:54
30,___.gulmini.___,CpfBe_AJlhA,VIBRANCE '23,135,7,2023-03-07 10:46:29
31,___.gulmini.___,Cmf6pIjBLgJ,He still does the trick perfectly!🥺🐾,198,17,2022-12-23 05:29:00
32,___.gulmini.___,CkH-p1bpzGO,🤞🏼🧿♥️,182,19,2022-10-25 05:19:27
33,___.gulmini.___,CjU699Epfvz,Garba Night'22💫💃,182,9,2022-10-05 09:24:21
34,___.gulmini.___,CjU5_Smpq0z,👻🐒👻🐒👻,219,23,2022-10-05 09:15:47
35,___.gulmini.___,CjU1auPJWys,Garba Night'22💃💫,160,0,2022-10-05 08:35:51
36,___.gulmini.___,CgyevpEpxv9,💫♥️,143,3,2022-08-03 07:20:45
37,___.gulmini.___,CfW7e08Ph-T,Either you never see my posts or you ll find me flooding your feeds. Oooppsiee🤭♥️,143,3,2022-06-28 18:01:44
38,___.gulmini.___,CfW7PpPvq89,Choteee🥺♥️,102,1,2022-06-28 17:59:40
